名稱,國家城市,服務性質,電話,負責人
台灣基督長老教會下野教會,台灣 - 台東縣,教會,089-56-8138,田斯寧 牧師
財團法人基督教上石里浸信會,台灣 - 台中市,教會,04-2451-4593,梁克丞 牧師
上多良長老教會,台灣 - 台東縣,教會,,楊秀英
中華浸信宣道會大安教會,台灣 - 台北市,教會,02-2707-7332,施義忠 牧師
中華浸信宣道會斗南教會,台灣 - 雲林縣,教會,05-597-2149,沈介仁 牧師
中華浸信宣道會北港教會,台灣 - 雲林縣,教會,05-782-5107,劉美珊 牧師
中華浸信宣道會台東黎明教會,台灣 - 台東縣,教會,089-22-4724,陳潤淑
中華浸信宣道會台中重慶教會,台灣 - 台中市,教會,04-2312-6966,李麗珍 牧師
中華浸信宣道會林頭教會,台灣 - 雲林縣,教會,05-532-2238,吳津銘 牧師
中華浸信宣道會武昌教會,台灣 - 高雄市,教會,07-333-2345,郭俊豪 牧師
中華浸信宣道會南投教會,台灣 - 南投縣,教會,049-222-1209,吳洪源 牧師
中華浸信宣道會員林教會,台灣 - 彰化縣,教會,04-835-3960,李相勳 牧師
中華浸信宣道會梅林教會,台灣 - 雲林縣,教會,05-532-3865,張順誨
中華浸信宣道會福和教會,台灣 - 新北市,教會,02-2927-8883,江堅誠 傳道師
中華浸信宣道會覺民教會,台灣 - 高雄市,教會,07-384-1248,雪新心 牧師
中華海外宣道會桃園福音堂,台灣 - 桃園市,教會,03-362-8461,尹在興
財團法人中華基督長老會山宣總會,台灣 - 花蓮縣,宗派中心,03-8610148,林韋
中華基督長老會山宣總會板橋教會,台灣 - 新北市,教會,02-2275-3425,林玉蘭
中華浸信宣道會車城福音中心,台灣 - 屏東縣,教會,08-882-4813,林宣裕 傳道
中華基督教浸信宣道會松竹教會,台灣 - 台中市,教會,04-22421332,高臨榮 牧師
中華浸信宣道會虎尾教會,台灣 - 雲林縣,教會,05-631-1269,黃木升 傳道
中華浸信宣道會屏東教會,台灣 - 屏東縣,教會,08-736-2382,雪新心
高雄市基督教高榮教會,台灣 - 高雄市,教會,07-345-9032,宋元聖
中華浸信宣道會新生命教會,台灣 - 高雄市,教會,,蕭家勝 牧師
中華浸信宣道會黎明教會,台灣 - 台中市,教會,04-2479-5916,劉進耀 牧師
中華浸信宣道會南京教會,台灣 - 高雄市,教會,07-763-1085,陳明志 牧師
中華神的教會,台灣 - 台中市,教會,04-2233-3729,陳煥光 牧師
中華基督長老教會山宣總會復興教會,台灣 - 花蓮縣,教會,03-8265275,邱美珠
中華基督教長老會感恩堂,台灣 - 台北市,教會,02-2832-7510,何細亞 長老
中華基督教中正教會,台灣 - 花蓮縣,教會,089-886779,田定芳
財團法人基督教中央教會總部,台灣 - 新北市,教會,02-2603-3633,施素珍
中華基督教長老教會山宣總會嘉義教會,台灣 - 嘉義市,教會,05-2762990,盧寬厚
基督教長老會台東福音教會,台灣 - 台東縣,教會,089-32-8595,陳雅各
財團法人台北市中華基督教長老會台北信友堂,台灣 - 台北市,教會,02-2363-1035,林炳宏
中華基督教信義會永生堂,台灣 - 桃園市,教會,03-334-3213,劉春雄 牧師
中華基督教信義會厚賜堂,台灣 - 新竹縣,教會,03-596-0457,
財團法人台灣省中華基督教信義會得勝堂,台灣 - 新竹市,教會,03-573-7271,周士煒 牧師
中華基督教信義會復興堂,台灣 - 台北市,教會,02-2720-0440,
中華基督長老會平鎮教會,台灣 - 桃園市,教會,03-450-8801,陳宜靜
中華基督教中央浸信會,台灣 - 新北市,教會,02-2219-8073,郭洪生 傳道
中華基督教加恩堂,台灣 - 台北市,教會,02-2765-0005,劉滿榮
社團法人台北市基督教安提阿浸信會,台灣 - 台北市,教會,02-3365-2942,黃淑靖 牧師
中華基督教長老會三峽教會,台灣 - 新北市,教會,02-2673-8541,周宗魯
財團法人台北市中華基督教長老會石牌信友堂,台灣 - 台北市,教會,02-2897-7702,彭浩霆 牧師
中華基督教長老會內湖信友堂,台灣 - 台北市,教會,02-8792-9734,馬清璽 牧師
中華基督教信義會信義堂,台灣 - 新竹市,教會,03-522-1571,鄭志仁 教師
財團法人台灣省中華基督教恩霖堂,台灣 - 新竹縣,教會,03-592-3728,葉輔宏 牧師
財團法人中華基督教信義會勝利堂,台灣 - 新竹市,教會,03-571-6803,梁敬賢 牧師
中華基督教便以利會大安堂,台灣 - 台北市,教會,02-2736-7209,徐壯華 牧師
浸信會嶺東迦南教會,台灣 - 台中市,教會,04-2381-3473,張定松 傳道
中華基督教浸信會光復堂,台灣 - 台北市,教會,02-2711-0185,戴義奎 牧師
中華循理會中山教會,台灣 - 高雄市,教會,07-334-4049,袁珪玲
中華基督教會,台灣 - 新北市,教會,02-29419240,黃堅忠
中華基督復興會下營教會,台灣 - 台南市,教會,06-689-6746,簡素如 牧師
中華循理會九曲堂教會,台灣 - 高雄市,教會,07-651-3710,郭志彬 牧師
中華循理會下屏東教會,台灣 - 屏東縣,教會,08-722-7098,王大慶
中華循理會土城教會,台灣 - 新北市,教會,02-2263-1578,郭朝信 牧師
中華循理會大雅教會（排灣）,台灣 - 台中市,教會,04-2568-2560,夏清章
中華基督教信義會新生堂,台灣 - 台北市,教會,02-2737-4891,胡華陀
中華基督教便以利會木柵教會,台灣 - 台北市,教會,02-2939-0544,董倫賢 牧師
恩光浸信會,台灣 - 新北市,教會,02-2969-8295,鍾金貴 牧師
中華基督教彩虹堂,台灣 - 台北市,教會,02-2746-8412,陳章雄
中華基督教景美浸信會,台灣 - 台北市,教會,02-2931-4144,黃主用 牧師
台北中華基督教會公理堂,台灣 - 台北市,教會,02-2511-8023,吳文雄 牧師
中華基督復興會新營教會,台灣 - 台南市,教會,06-633-2440,唐瑞樂 牧師
中華循理會三和教會,台灣 - 屏東縣,教會,08-732-8426,杜玉玲
土坂恩惠教會,台灣 - 台東縣,教會,089-76-1196,李冠雄 牧師
中華循理會大武教會,台灣 - 屏東縣,教會,08-799-2047,柯金燕 牧師
中華循理會小內獅教會,台灣 - 屏東縣,教會,08-8721060,
中華循理會中崙教會,台灣 - 高雄市,教會,07-753-1531,張慧清
中華循理會丹路教會,台灣 - 屏東縣,教會,08-877-0474,楊文旭
中華循理會內獅教會,台灣 - 屏東縣,教會,08-872-0610,白喜樂 牧師
中華循理會文山教會,台灣 - 高雄市,教會,07-746-9744,潘暉恩 牧師
中華循理會台中教會,台灣 - 台中市,教會,04-2252-2038,裴英俊 牧師
基督教中華循理會台南教會,台灣 - 台南市,教會,06-225-0687,陳泓霖 牧師
中華循理會伊屯教會,台灣 - 屏東縣,教會,08-877-0471,林清坤
中華循理會好茶教會,台灣 - 屏東縣,教會,"08-770-7540, 08-761-0197",杜達偉 牧師
中華循理會竹坑教會,台灣 - 屏東縣,教會,08-877-0092,李慧敏 牧師
中華循理會大寮教會,台灣 - 高雄市,教會,07-782-1961,殷福鴻
中華循理會中心崙教會,台灣 - 屏東縣,教會,08-876-1773,
中華循理會譜力姆教會,台灣 - 屏東縣,教會,08-883-1283,林新香 牧師
中華循理會五甲教會,台灣 - 高雄市,教會,07-716-4842,郭懷恩
中華循理會六塊厝教會,台灣 - 屏東縣,教會,08-765-9770,羅遠平 牧師
中華循理會木柵教會,台灣 - 台北市,教會,02-2939-1654,羅時淳 牧師
中華循理會台東教會,台灣 - 台東縣,教會,089-38-2986,尤宗賢 牧師
中華基督教循理會永和教會,台灣 - 新北市,教會,02-2942-4440,高曉蓉
中華吉露教會,台灣 - 屏東縣,教會,08-7651031,柯彩貞
中華循理會安康教會,台灣 - 新北市,教會,02-8666-3634,羅仕淦
中華循理會西屯教會,台灣 - 台中市,教會,04-2451-0543,姜秀華 傳道
中華循理會佳音教會,台灣 - 高雄市,教會,07-815-2852,巴學誠 牧師
中華循理會忠勇教會,台灣 - 台北市,教會,02-2831-7356,葉茂堂 牧師
中華循理會果貿教會,台灣 - 高雄市,教會,07-553-1272,蔡耀慶
中華循理會前庄教會,台灣 - 高雄市,教會,07-702-0999,張嘉夫 牧師
基督教中華循理會南三和教會,台灣 - 屏東縣,教會,08-799-3402,杜達偉 牧師
中華循理會桃園教會,台灣 - 桃園市,教會,03-3775683,林振華
中華循理會草埔教會,台灣 - 屏東縣,教會,08-870-1226,魏花美
中華循理會商協教會,台灣 - 高雄市,教會,07-781-7415,陳應中 牧師
基督教中華循理會新莊教會,台灣 - 新北市,教會,02-2993-2973,方秀玉 牧師
中華循理會自強教會,台灣 - 高雄市,教會,07-969-6007,程國倫 傳道
中華循理會牡丹教會,台灣 - 屏東縣,教會,08-883-0277,魏花美
中華循理會和平教會,台灣 - 屏東縣,教會,08-876-1857,宋德福
中華循理會忠義教會,台灣 - 高雄市,教會,07-741-2622,袁瑞娜 牧師
中華循理會阿禮教會,台灣 - 屏東縣,教會,08-761-6379,杜明發 牧師
中華循理會前鋒教會,台灣 - 高雄市,教會,07-552-0634,林惠珍
中華循理會屏東教會,台灣 - 屏東縣,教會,08-733-6401,吳吉民 傳道
中華循理會海光教會,台灣 - 高雄市,教會,07-341-9103,林正義
中華循理會高雄教會,台灣 - 高雄市,教會,07-286-6555,
中華循理會新竹教會,台灣 - 新竹市,教會,03-562-2060,趙桂君　
中華循理會楓林教會,台灣 - 屏東縣,教會,08-877-1003,薛勇生
中華循理會鳳山教會,台灣 - 高雄市,教會,07-746-2086,張靜蕙
中華循理會龍泉教會,台灣 - 屏東縣,教會,08-770-0964,黃永花
中華循理會雙流教會,台灣 - 屏東縣,教會,08-870-1237,陳正義
基督教中華傳道會天恩堂,台灣 - 台北市,教會,02-2303-7180,李寶珠
基督教大湳禮拜堂,台灣 - 桃園市,教會,03-367-5944,林競生 牧師
中華聖召會基督教山仔教會,台灣 - 桃園市,教會,03-469-0131,張嘉道
中華聖潔會北埔教會,台灣 - 新竹縣,教會,03-580-1104,詹智華 傳道
中華聖潔會佳音教會,台灣 - 新竹市,教會,03-524-1303,白自國 牧師
中華聖潔會犁頭山教會,台灣 - 新竹縣,教會,03-5886042,王子潔
中華循理會新路教會,台灣 - 屏東縣,教會,08-877-0816,黃惠梅
中華循理會萬山教會,台灣 - 高雄市,教會,07-680-1011,唐威
中華循理會興隆教會,台灣 - 台北市,教會,02-2932-8278,周哲昌 牧師
中華循理會龍潭教會,台灣 - 桃園市,教會,03-489-3749,蔡良志 牧師
中華傳道會天恩佈道所,台灣 - 新北市,教會,02-22644793,劉錫安
中華傳道會鳳山聖恩堂,台灣 - 高雄市,教會,07-701-3691,王偉齡
基督教內城聖召會,台灣 - 宜蘭縣,教會,03-923-1952,劉桂子 傳道
基督教聖召會頭城福音中心,台灣 - 宜蘭縣,教會,03-977-1488,陳長老
中華聖潔會竹北教會,台灣 - 新竹縣,教會,03-588-9828,鄧欽志
中華聖潔會板橋教會,台灣 - 新北市,教會,02-2256-2024,金尚會
中華聖潔會新埔教會,台灣 - 新竹縣,教會,03-588-3196,徐蘭勝 牧師
中華聖潔會鳳山村教會,台灣 - 新竹縣,教會,03-597-6906,王議寬 教師
中華聖潔會關東橋教會,台灣 - 新竹市,教會,03-577-6384,陳正賢 牧師
中華福音信義會主恩堂,台灣 - 台中市,教會,04-2556-2865,胡秀雲
中華福音信義會沐恩堂,台灣 - 台中市,教會,04-2392-9413,沈瑞蘭
中華福音信義會感恩堂,台灣 - 台中市,教會,04-2561-1948,姚香江
中華福音信義會豐恩堂,台灣 - 台中市,教會,04-2525-7272,劉獻瑞
中華福音路德會高雄佈道所,台灣 - 高雄市,教會,07-831-7763,廖海全 牧師
中華福音道路德會斗六靈恩堂,台灣 - 雲林縣,教會,05-532-1370,朱伯江 傳道
財團法人台北市基督教中華福音道路德會永生堂,台灣 - 台北市,教會,02-2351-4093,苗其華 牧師
基督教中華聖潔會新竹教會,台灣 - 新竹市,教會,03-524-4061,賀雅文 牧師
中華聖潔會新豐教會新豐堂,台灣 - 新竹縣,教會,03-559-1898,劉修泉 牧師
中華聖潔會關西教會,台灣 - 新竹縣,教會,03-587-2773,孫秀琴 傳道
台灣基督長老教會中華路教會,台灣 - 台南市,教會,06-233-7471,何瓊花 牧師
中華福音信義會加恩堂,台灣 - 台中市,教會,04-2422-8947,王素真 牧師
中華福音信義會施恩堂,台灣 - 台中市,教會,04-2587-4100,孫武根
中華福音信義會中嵙頌恩堂,台灣 - 台中市,教會,04-2588-5726,吳進春
基督教中華福音會,台灣 - 新北市,教會,02-2252-0500,皇甫仰禮 牧師
中華福音道路德會仁愛堂,台灣 - 桃園市,教會,03-333-9996,宜約堂
財團法人中華福音道路德會台中聖恩堂,台灣 - 台中市,教會,04-2238-2225,璩雅倫
中華福音道路德會安中教會,台灣 - 台南市,教會,06-246-0460,楊裕鄉
中華福音道路德會松山教會,台灣 - 台北市,教會,02-2727-7697,何傳道
財團法人中華福音道路德會施恩堂,台灣 - 嘉義市,教會,05-227-1308,趙世輝
中華福音道路德會真光堂,台灣 - 台北市,教會,02-2307-1411,朱運平
財團法人中華福音道路德會救恩堂,台灣 - 嘉義市,教會,05-285-2382,吳山大 牧師
財團法人中華福音道路德會聖三一堂,台灣 - 南投縣,教會,049-233-7209,陳平安 牧師
財團法人中華福音道路德會嘉興堂,台灣 - 嘉義市,教會,05-276-3011,林中一
中華聾人基督教會,台灣 - 台北市,教會,02-2303-4716,葉永和 牧師
台灣基督長老教會中寮教會,台灣 - 南投縣,教會,049-269-1617,林庭樂 牧師
台灣基督長老教會中興教會（布中）,台灣 - 花蓮縣,教會,"03-888-7110, 03-888-4224",高信榮 牧師
財團法人中華福音道路德會生命堂,台灣 - 台南市,教會,06-2691780,暫無
中華福音道路德會和平堂,台灣 - 新北市,教會,02-2968-8148,柯俊字 牧師
中華福音道路德會信望愛教會,台灣 - 台南市,教會,06-256-8645,
中華福音道路德會迦南堂,台灣 - 台北市,教會,02-2571-2930,宣仁揚
財團法人中華福音道路德會救主堂,台灣 - 嘉義市,教會,05-232-5969,施政雄
財團法人中華福音道路德會新莊教會,台灣 - 新北市,教會,02-2990-3390,王茂雄 牧師
中華福音道路德會台南市頌恩堂,台灣 - 台南市,教會,06-251-6108,王鎮濤 牧師
財團法人中華福音道路德會榮恩堂,台灣 - 台南市,教會,06-685-7444,萬德樹 牧師
台灣基督長老教會中路教會,台灣 - 高雄市,教會,07-631-3640,黃信典 牧師
台灣基督長老教會中興教會（中中）,台灣 - 南投縣,教會,049-233-5221,謝大舜 牧師
台灣基督長老教會中興教會（美中）,台灣 - 花蓮縣,教會,03-874-1159,徐阿生 牧師
花蓮中興教會,台灣 - 花蓮縣,教會,03-8522208,
中興新村教會,台灣 - 南投縣,教會,049-233-5257,韓耀主
中壢行道會,台灣 - 桃園市,教會,03-458-4604,黃帶 牧師
台灣基督長老教會中壢教會,台灣 - 桃園市,教會,03-422-4354,陳克安 牧師
中壢神召會,台灣 - 桃園市,教會,03-458-8056,王冠雄 牧師
中壢愛加倍教會,台灣 - 桃園市,教會,03-457-8692,黃帶 牧師
中壢聖經教會,台灣 - 桃園市,教會,03-453-2944,楊紀浩 牧師
中壢播道會,台灣 - 桃園市,教會,03-492-5914,
台灣基督長老教會丹鳳教會,台灣 - 桃園市,教會,02-2297-2313,徐美花 牧師
台灣基督長老教會中興教會（星中）,台灣 - 台北市,教會,02-2502-6018,
汐止中興浸信會,台灣 - 新北市,教會,02-2695-8577,謝建中 牧師
中興新村浸信會,台灣 - 南投縣,教會,049-235-9767,陳素敏
基督教中興錫安堂,台灣 - 新北市,教會,02-8923-3229,謝清傑 牧師
中壢佳音基督教會,台灣 - 桃園市,教會,03-494-0945,買良助
中壢浸信會,台灣 - 桃園市,教會,03-493-4764,戴文峻 牧師
中壢崇真堂,台灣 - 桃園市,教會,03-491-2682,呂謙 牧師
國度領袖聖教會,台灣 - 桃園市,教會,03-493-1245,蘇信行 牧師
台灣工業福音團契中壢福音中心,台灣 - 桃園市,其他,03-434-5329,張仁愛 傳道
中壢靈糧堂,台灣 - 桃園市,教會,03-456-1011,王桂華 牧師
五甲浸信會,台灣 - 高雄市,教會,07-812-0629,王蕭怡華
五旬節基督教會,台灣 - 新北市,教會,02-29685943,陳揚道
五旬節教會,台灣 - 台中市,教會,04-3910762,艾德明
台灣基督長老教會五峰教會,台灣 - 新竹縣,教會,03-585-1782,陳明光 牧師
台灣基督長老教會五福教會,台灣 - 高雄市,教會,07-225-4997,吳建一 牧師
浸禮聖經會仁光教會,台灣 - 台中市,教會,04-2254-8117,孫安德
台灣基督長老教會仁和教會,台灣 - 台南市,教會,06-288-1189,
仁和基督教會,台灣 - 台南市,教會,06-290-4582,張振生 傳道
台灣基督長老教會仁美教會,台灣 - 高雄市,教會,07-731-3037,龎大衛 牧師
仁愛之家基督徒團契,台灣 - 新北市,教會,02-2492-2511,蕭逸名
台灣基督長老教會五甲教會,台灣 - 高雄市,教會,07-821-7553,黃佩怡 牧師
台灣基督長老教會五尖教會,台灣 - 新竹縣,教會,03-594-0706,明當．尤淦 牧師
五旬節基督教會,台灣 - 新北市,教會,02-29427200,劉美華
台灣基督長老教會中興教會(北中),台灣 - 新北市,教會,02-2982-4147,丁進益 牧師
台灣基督長老教會五結教會,台灣 - 宜蘭縣,教會,03-950-1390,林柏青 牧師
台灣基督長老教會仁化教會,台灣 - 台中市,教會,04-2491-9472,黃俞靜 牧師
仁里聖教會,台灣 - 花蓮縣,教會,03-852-5548,張長青 牧師
仁和神召會,台灣 - 花蓮縣,教會,03-842-0224,蕭麗玉 傳道
台灣基督長老教會仁武教會,台灣 - 高雄市,教會,07-371-1531,田永人 牧師
台灣基督長老教會仁雄教會,台灣 - 高雄市,教會,07-374-0351,王崑儀 牧師
台灣基督長老教會仁愛教會（彰中）,台灣 - 彰化縣,教會,04-893-1586,
台灣基督長老教會仁義教會,台灣 - 新北市,教會,02-2987-5577,
台灣基督長老教會元長教會,台灣 - 雲林縣,教會,05-788-1434,
台灣基督長老教會內埔教會,台灣 - 屏東縣,教會,08-779-2087,李鳳嬌 牧師
台灣基督長老教會內惟教會,台灣 - 高雄市,教會,07-582-2992,李沂安 牧師
台灣基督長老教會內湖教會,台灣 - 台北市,教會,02-2790-4938,周淑玲 牧師
內湖靈糧堂,台灣 - 台北市,教會,02-2632-5899,莊嘉琳 牧師
台灣基督長老教會阿茲達斯教會,台灣 - 屏東縣,教會,08-872-1467,蔡美花 牧師
大衛帳幕教會,台灣 - 桃園市,教會,03-434-3806,朴鍾珊 牧師
台灣基督長老教會六甲教會,台灣 - 台南市,教會,06-698-2574,邱世榮 牧師
台灣基督長老教會仁愛教會,台灣 - 台北市,教會,02-2701-6779,陳天來 牧師
中華基督教仁愛浸信會,台灣 - 新北市,教會,02-2955-0629,錢麗蓉 牧師
台灣基督長老教會仁德教會,台灣 - 台南市,教會,06-279-3582,王博弘 牧師
台灣基督長老教會內文教會,台灣 - 屏東縣,教會,08-870-0033,蕭世光 牧師
內埔基督教會,台灣 - 屏東縣,教會,08-779-1367,鍾明勳 牧師
財團法人中華基督教行道會內湖教會,台灣 - 台北市,教會,02-2657-9428,林永錚 牧師
內湖浸信會,台灣 - 台北市,教會,02-2790-5510,魯王明珠 師母
台灣基督長老教會內新教會,台灣 - 台中市,教會,04-2486-0001,王福祥 牧師
台灣基督長老教會內壢教會,台灣 - 桃園市,教會,03-455-1491,彭志鴻 牧師
內壢榮美崇真堂,台灣 - 桃園市,教會,03-463-9350,鐘淑怡
台灣基督長老教會六張犁教會,台灣 - 台北市,教會,02-2732-9041,張昱庭 傳道
台灣基督長老教會六龜教會,台灣 - 高雄市,教會,07-689-4173,
台灣基督長老教會公英教會,台灣 - 台南市,教會,06-268-0094,王朝陽 牧師
公園路浸信會,台灣 - 台南市,教會,0911-713-277,高佳美 牧師
台灣基督長老教會公館教會（屏中）,台灣 - 屏東縣,教會,08-752-2364,林霓玲 牧師
台灣基督長老教會天母教會,台灣 - 台北市,教會,02-2833-0319,廖繼坤 牧師
天母靈糧堂,台灣 - 台北市,教會,02-2831-0299,鄭昌國 傳道
台灣基督長老教會天橋教會,台灣 - 台南市,教會,06-238-1777,林憲平 牧師
台灣基督長老教會太平教會（布中）,台灣 - 花蓮縣,教會,03-884-1071,阿力．意思巴力達夫 傳道師
太平聖教會,台灣 - 台中市,教會,04-2391-4368,
六家福音中心,台灣 - 新竹縣,教會,"03-591-6330, 0920-030972",湯心如
台灣基督長老教會六農教會,台灣 - 高雄市,教會,07-689-2229,阿布斯．拜恩給諾安 牧師
六龜浸信會,台灣 - 高雄市,教會,07-689-1054,楊子江 牧師
台灣基督長老教會公園教會,台灣 - 新竹市,教會,03-522-1960,黃銅沛 牧師
台灣基督長老教會公館教會（竹中）,台灣 - 苗栗縣,教會,037-22-2334,黃毓瑜 牧師
台灣基督長老教會台北公館教會,台灣 - 台北市,教會,02-2932-7941,王豐榮 牧師
天母基督教會,台灣 - 台北市,教會,02-2871-4834,尹冀
天祥長老教會,台灣 - 花蓮縣,教會,03-8691203,戴秋貴
台灣基督長老教會太巴塱教會,台灣 - 花蓮縣,教會,03-870-2880,吳鐵晃 牧師
台中太平台福基督教會,台灣 - 台中市,教會,04-2393-9770,徐翠蓮
台灣基督長老教會太麻里教會,台灣 - 台東縣,教會,089-781-211,洪彰君 牧師
台灣基督長老教會太魯閣教會,台灣 - 花蓮縣,教會,03-861-2098,
大使命浸信會,台灣 - 台中市,教會,04-2298-8713,馮隆曦 牧師
