醫療機構名稱,地址,電話,垂直整合策略聯盟/主責醫事機構,終止合約或歇業日期
中正診所,花蓮縣花蓮市中正路172號,03-8316655,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
李學智婦產科診所,花蓮縣花蓮市中正路216號,03-8325880,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
至善診所,花蓮縣花蓮市中正路46號,03-8338006,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
蕭勝雄診所,花蓮縣花蓮市中和街220號,03-8324295,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
張邦珍內科診所,花蓮縣花蓮市中美路63之5號,03-8350933,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
謝文億診所,花蓮縣花蓮市中美路63號,03-8336635,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
陳建發耳鼻喉科診所,花蓮縣花蓮市中美路77之2號,03-8246119,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
曹錦源眼科診所,花蓮縣花蓮市中美路79號,03-8238057,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
江昌雲婦產科診所,花蓮縣花蓮市中美路87號,03-8246156,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
慈田診所,花蓮縣花蓮市中華路190號,03-8316818,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
劉神經科診所,花蓮縣花蓮市中華路234號,03-8326898,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
劉建三診所,花蓮縣花蓮市中華路245號,03-8329225,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
國泰聯合診所,花蓮縣花蓮市中華路459號,03-8542031,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
曾內兒科診所,花蓮縣花蓮市中福路108號,03-8335527,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
全人診所,花蓮縣花蓮市中福路158號,03-8358568,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
黃國樑小兒科,花蓮縣花蓮市中福路186號,03-8343959,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
林建中診所,花蓮縣花蓮市中福路193號,03-8361638,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
廖耳鼻喉科診所,花蓮縣花蓮市主權里中華路422－1號,03-8356196,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
美崙聯安診所,花蓮縣花蓮市正義街8之2號3樓,03-8310131,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
陳耳鼻喉科診所,花蓮縣花蓮市光復街15號,03-8322878,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
北國泰聯合診所,花蓮縣花蓮市府前路580號,03-8228875,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
嘉光耳鼻喉科診所,花蓮縣花蓮市明禮路71之5號,03-8341440,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
吳文揚診所,花蓮縣花蓮市林森路258－3號,03-8355586,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
民安復健科診所,花蓮縣花蓮市林森路258－3號,03-8355586,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
吳眼科診所,花蓮縣花蓮市林森路309－1號,03-8345519,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
謝煥益診所,花蓮縣花蓮市建國路312號,03-8328825,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
譚眼科診所,花蓮縣花蓮市國民九街107號,03-8353205,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
宏卿診所,花蓮縣花蓮市國光里林森路417號,03-8342233,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
惠生婦產科診所,花蓮縣花蓮市國聯四路73號,03-8311211,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
張淑華小兒科診所,花蓮縣花蓮市國聯四路75號,03-8311031,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
呂小兒科診所,花蓮縣花蓮市博愛街201號,03-8329341,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
黃港生婦產科診所,花蓮縣花蓮市博愛街215之1號,03-8326316,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
懷德診所,花蓮縣花蓮市復興街10號,03-8344210,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
國軍花蓮總醫院附設民眾診療服務處,花蓮縣新城鄉嘉里路163號,03-8263151,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
花蓮縣瑞穗鄉衛生所,花蓮縣瑞穗鄉瑞穗村民生街75號,03-8872045,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
臺灣基督教門諾會醫療財團法人門諾醫院壽豐分院,花蓮縣壽豐鄉共和村魚池52號,03-8664600,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
禾心診所,花蓮縣壽豐鄉豐山村中山路225號,03-8650020,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
花蓮縣鳳林鎮衛生所,花蓮縣鳳林鎮公正街8之1號,03-8761116,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
臺北榮民總醫院鳳林分院,花蓮縣鳳林鎮鳳信里中正路1段2號,03-8764539,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
花蓮縣豐濱鄉衛生所,花蓮縣豐濱鄉豐濱村光豐路39號,03-8791156,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
衛生福利部花蓮醫院豐濱原住民分院,花蓮縣豐濱鄉豐濱村光豐路41號,03-8358141,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
蔡仲凡診所,屏東縣東港鎮光復路2段76號,08-.8351666,安泰醫療社策略聯盟/安泰醫療社團法人安泰醫院,
鴻基診所,屏東縣萬丹鄉社皮村大昌路543號,08-7074596,安泰醫療社策略聯盟/安泰醫療社團法人安泰醫院,
吉泰內科診所,高雄市前鎮區保泰路419號,07-7616000,安泰醫療社策略聯盟/安泰醫療社團法人安泰醫院,
蕭宏儒診所,高雄市大寮區大寮里大寮路595號,07-7889258,小港醫院策略聯盟/高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）,
大寮進安診所,高雄市大寮區鳳林四路134－1號,07-7812211,小港醫院策略聯盟/高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）,
大發診所,高雄市大寮區潮寮村潮龍路202號,07-7881968,小港醫院策略聯盟/高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）,
孔鳳診所,高雄市小港區孔鳳路571號1樓,07-7910311,小港醫院策略聯盟/高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）,
羅錦泉診所,高雄市小港區平和路105號,07-8314168,小港醫院策略聯盟/高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）,
桂陽診所,高雄市小港區桂陽路310號1樓,07-7917770,小港醫院策略聯盟/高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）,
明義診所,高雄市小港區廈莊里孔鳳路542號,07-7916959,小港醫院策略聯盟/高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）,
小港高美泌尿科診所,高雄市小港區漢民路121號1樓2樓,07-8064899,小港醫院策略聯盟/高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）,
李宣炘診所,高雄市小港區漢民路249號,07-8063229,小港醫院策略聯盟/高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）,
葉武忠診所,高雄市小港區漢民路517號1樓,07-8070007,小港醫院策略聯盟/高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）,
勞小兒科診所,高雄市小港區漢民路693－2號,07-8039222,小港醫院策略聯盟/高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）,
漢民好心診所,高雄市小港區漢民路717號1樓,07-8012121,小港醫院策略聯盟/高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）,
大林蒲診所,高雄市小港區鳳林里鳳林路113－1號,07-8714668,小港醫院策略聯盟/高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）,
聯合王婦產科診所,高雄市林園區文賢里沿海路三段148號1－2樓,07-6425968,小港醫院策略聯盟/高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）,
黃英豪診所,高雄市林園區林園北路188號,07-6412134,小港醫院策略聯盟/高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）,
梅振英耳鼻喉科診所,高雄市林園區林園北路226號,07-6438553,小港醫院策略聯盟/高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）,
川宏診所,高雄市林園區鳳林路一段83號1樓,07-6452520,小港醫院策略聯盟/高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）,
曾長安診所,高雄市前鎮區二聖一路170號1樓,07-7219955,小港醫院策略聯盟/高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）,
永豐診所,高雄市前鎮區永豐路110號1．2樓,07-7515678,小港醫院策略聯盟/高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）,
高雄市立旗津醫院(委託財團法人私立高雄醫學大學經營),高雄市旗津區旗港路33號,07-5711188,小港醫院策略聯盟/高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）,
佛光聯合診所,高雄市大樹區興田里興田路154號1樓,07-6561921,義大醫院策略聯盟/義大醫療財團法人義大醫院,
永馨牙醫診所,高雄市左營區立信路204號1、2樓,07-5585111,義大醫院策略聯盟/義大醫療財團法人義大醫院,
吳宗慶診所,高雄市岡山區中山北路47號,07-6229868,義大醫院策略聯盟/義大醫療財團法人義大醫院,
岡山杏生婦產科診所,高雄市岡山區仁義路36號,07-6297770,義大醫院策略聯盟/義大醫療財團法人義大醫院,
盧榮福內兒科診所,高雄市岡山區仁壽里仁壽路39號,07-6261515,義大醫院策略聯盟/義大醫療財團法人義大醫院,
安生診所,高雄市岡山區仁壽里民族路59號,07-6263759,義大醫院策略聯盟/義大醫療財團法人義大醫院,
謝燕輝眼科診所,高雄市岡山區平安里維新路49號,07-6225695,義大醫院策略聯盟/義大醫療財團法人義大醫院,
蘇俊明小兒科診所,高雄市岡山區平和路200號,07-6223189,義大醫院策略聯盟/義大醫療財團法人義大醫院,
黃昱璋泌尿科外科診所,高雄市岡山區岡山路177號,07-6225358,義大醫院策略聯盟/義大醫療財團法人義大醫院,
許弘志眼科診所,高雄市岡山區岡山路347－1號,07-6234272,義大醫院策略聯盟/義大醫療財團法人義大醫院,
黃耳鼻喉科診所,高雄市岡山區岡山路347之1號,07-6230011,義大醫院策略聯盟/義大醫療財團法人義大醫院,
高明眼科診所,高雄市岡山區岡燕路17號,07-6230935,義大醫院策略聯盟/義大醫療財團法人義大醫院,
得安診所,高雄市岡山區前峰里前峰路41號,07-6258387,義大醫院策略聯盟/義大醫療財團法人義大醫院,
翁明清婦產科診所,高雄市岡山區前峰里前峰路73號,07-6262997,義大醫院策略聯盟/義大醫療財團法人義大醫院,
楊禮瑜診所,高雄市岡山區柳橋東路30號,07-6233598,義大醫院策略聯盟/義大醫療財團法人義大醫院,
黃仲達診所,高雄市岡山區柳橋東路9－2號1樓,07-6297898,義大醫院策略聯盟/義大醫療財團法人義大醫院,
陳振忠內兒科診所,高雄市岡山區壽天里壽天路37－2號,07-6213202,義大醫院策略聯盟/義大醫療財團法人義大醫院,
明成親子診所,高雄市阿蓮區民權路95、97號,07-6319789,義大醫院策略聯盟/義大醫療財團法人義大醫院,
加福診所,高雄市苓雅區人和里4鄰中華四路258號3樓,07-5362667,義大醫院策略聯盟/義大醫療財團法人義大醫院,
永健診所,高雄市湖內區太爺里中正路一段30號,07-6997406,義大醫院策略聯盟/義大醫療財團法人義大醫院,
高耿耀診所,高雄市楠梓區建楠路179號1樓,07-3529803,義大醫院策略聯盟/義大醫療財團法人義大醫院,
祈福診所,高雄市楠梓區楠梓新路271號1．2樓,07-3531117,義大醫院策略聯盟/義大醫療財團法人義大醫院,
謝坤霖耳鼻喉科診所,高雄市楠梓區鳳楠路263號1樓,07-3551661,義大醫院策略聯盟/義大醫療財團法人義大醫院,
杏生婦產科診所,高雄市楠梓區德民路290．292號1．2．3樓,07-3658288,義大醫院策略聯盟/義大醫療財團法人義大醫院,
宏育診所,高雄市楠梓區樂群路241號,07-3655331,義大醫院策略聯盟/義大醫療財團法人義大醫院,
楠華診所,高雄市楠梓區興楠路295．297號,07-3533606,義大醫院策略聯盟/義大醫療財團法人義大醫院,
長星診所,高雄市路竹區大社路68號,07-6973411,義大醫院策略聯盟/義大醫療財團法人義大醫院,
祐民診所,高雄市路竹區中和街180號,07-6072211,義大醫院策略聯盟/義大醫療財團法人義大醫院,
楊皮膚科診所,高雄市旗山區大德里延平一路679號,07-6625322,義大醫院策略聯盟/義大醫療財團法人義大醫院,
許仁豪中醫診所,高雄市鳳山區建國路2段202號1樓,07-7806122,義大醫院策略聯盟/義大醫療財團法人義大醫院,
泰祥牙醫診所,高雄市橋頭區仕和里隆豐路228號,07-6110077,義大醫院策略聯盟/義大醫療財團法人義大醫院,
孫琮淵診所,高雄市橋頭區仕隆里成功南路79號,07-6130567,義大醫院策略聯盟/義大醫療財團法人義大醫院,
簡萬杰診所,高雄市燕巢區西燕里中民路558號,07-6166674,義大醫院策略聯盟/義大醫療財團法人義大醫院,
濟民診所,高雄市彌陀區彌仁里中正路102號,07-6177507,義大醫院策略聯盟/義大醫療財團法人義大醫院,
江明儒耳鼻喉科診所,澎湖縣馬公市大勇街65號,06-9276768,義大醫院策略聯盟/義大醫療財團法人義大醫院,
周國雄診所,澎湖縣馬公市海埔路87號,06-9262070,義大醫院策略聯盟/義大醫療財團法人義大醫院,
李明杰診所,澎湖縣馬公市陽明里海埔路93號,06-9276695,義大醫院策略聯盟/義大醫療財團法人義大醫院,
新高醫院,高雄市三民區莊敬路288號1-9樓,07-3828814,高醫_守護城鄉零距離合作團隊/財團法人私立高雄醫學大學附設中和紀念醫院,
葉旭顏泌尿科診所,高雄市三民區裕誠路88號一樓,07-3479828,高醫_守護城鄉零距離合作團隊/財團法人私立高雄醫學大學附設中和紀念醫院,
文雄醫院,高雄市三民區察哈爾二街132號地下1層地上1至5層,07-3165275,高醫_守護城鄉零距離合作團隊/財團法人私立高雄醫學大學附設中和紀念醫院,
瑞生醫院,高雄市大寮區鳳林四路192號,07-7835175,高醫_守護城鄉零距離合作團隊/財團法人私立高雄醫學大學附設中和紀念醫院,
蘇婦產科診所,高雄市左營區裕誠路445號1樓,07-5575100,高醫_守護城鄉零距離合作團隊/財團法人私立高雄醫學大學附設中和紀念醫院,
岡山內科診所,高雄市岡山區岡山路148號1、2樓,07-6213371,高醫_守護城鄉零距離合作團隊/財團法人私立高雄醫學大學附設中和紀念醫院,
霖園醫院,高雄市林園區林園里林園北路244號,07-6413399,高醫_守護城鄉零距離合作團隊/財團法人私立高雄醫學大學附設中和紀念醫院,
好生診所,高雄市前金區七賢二路183號1至3樓,07-2867000,高醫_守護城鄉零距離合作團隊/財團法人私立高雄醫學大學附設中和紀念醫院,
五福診所,高雄市前金區中華四路318號1至4樓,07-2213933,高醫_守護城鄉零距離合作團隊/財團法人私立高雄醫學大學附設中和紀念醫院,
蘇雍順皮膚專科診所,高雄市前鎮區公正路162號1樓、2樓,07-7217717,高醫_守護城鄉零距離合作團隊/財團法人私立高雄醫學大學附設中和紀念醫院,
乃榮醫療社團法人乃榮醫院,高雄市苓雅區三多二路226.228號.地下1樓-5樓,07-7613151,高醫_守護城鄉零距離合作團隊/財團法人私立高雄醫學大學附設中和紀念醫院,
邱育德整型外科診所,高雄市新興區中山一路238號1樓，2樓，3樓,07-2373037,高醫_守護城鄉零距離合作團隊/財團法人私立高雄醫學大學附設中和紀念醫院,
楊宗憲診所,高雄市楠梓區德賢路165號1－2樓,07-3663511,高醫_守護城鄉零距離合作團隊/財團法人私立高雄醫學大學附設中和紀念醫院,
安心耳鼻喉科診所,高雄市路竹區大社路94號1樓,07-6071288,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院義大醫院策略聯盟/義大醫療財團法人義大醫院,
