館別,地址,電話,開放時間
臺南市官田區圖書館,720臺南市官田區隆田里中山路一段129號,06-5793408  ,"1、週二至週五：08:00-20:00
      週六、週日：08:00-17:00
2、週一、國定假日休館"
臺南市東山區圖書館,733臺南市東山區東山里225-4號,06-6802100#139  ,"1、週一：13:00-17:00 
      週二至週五：08:00-17:00
      週六、週日：08:00-16:00
2、國定假日休館"
臺南市南化區圖書館,716臺南市南化區南化里227-1號,06-5771247  ,"1、週一至週日：08:00-12:00、13:00-17:00
2、國定假日休館"
臺南市立新營文化中心圖書館,730臺南市新營區中正路23號,06-6376575  ,"1、週二14:00-20:30(兒童閱覽室休館)
      週三至週六08:00-20:30
      週日：08:00-17:00
2、週一、週二上午、國定假日休館"
臺南市後壁區圖書館,731臺南市後壁區後壁里131號,06-6871314,"1、週二至週五：08:00-17:00 
      週六、週日：08:00-12:00、13:00-17:00 
2、週一、國定假日休館"
臺南市柳營區圖書館,736臺南市柳營區士林里柳營路二段59號,06-6224023  ,"1、週二至週日 08:00~17:30
2、週一、國定假日、每月最後一個週五休館  "
臺南市將軍區圖書館,725臺南市將軍區忠興里180-50號,06-7944851  ,"1、週二至週日：08:00-12:00、13:00-17:00
2、週一、國定假日休館"
臺南市麻豆區圖書館,721臺南市麻豆區興國路11號3、4樓,06-5729007#13 ,"1、106/08/05(六)至107/06/30(六)閉館整修
2、臨時服務站：文化館1樓(臺南市麻豆區興國路11號1樓)
3、週二至週日：08:00-17:00
4、週一、國定假日休館"
臺南市善化區圖書館,741臺南市善化區東關里中山路377號3樓,06-5810299  ,"1、週一至週五：08:00-21:00 
      週六、週日：08:30-17:00 
2、國定假日、每月最後一個週二休館"
臺南市新化區圖書館,712臺南市新化區中山路132號,06-5902685  ,"1、週二至週五：08:00-20:00
      週六、週日：09:00-17:00
2、週一、國定假日休館"
臺南市新市區圖書館,744臺南市新市區民族路192號,06-5997340  ,"1、週二至週五：08:00-20:00
      週六、週日：09:00-17:00
2、週一、國定假日休館 "
臺南市新營區圖書館,730臺南市新營區太北里45-8號,06-6525933  ,"1、週一至週五 08:00~17:30
      週六、週日 08:00~17:00
2、國定假日休館"
臺南市楠西區圖書館,715臺南市楠西區東勢里中正路309號,06-5754056  ,"1、週一至週日：09:00-17:00
2、國定假日休館"
臺南市學甲區圖書館,726臺南市學甲區仁得里建國路38號,06-7821270  ,"1、週二至週五08:00-18:00
      週六、週日08:00-16:00
2、週一、國定假日、每月最後一個週五休館"
臺南市蕭?兒童圖書館,722臺南市佳里區六安里130號,06-7234933,"1、週三至週日：09:00-17:00 
2、週一、週二、國定假日休館"
臺南市龍崎區圖書館,719臺南市龍崎區崎頂里38號,06-5941653  ,"1、週二至週五：08:00-17:00 
2、週六、週日：08:00-18:00 
3、週一、國定假日休館"
臺南市歸仁區圖書館,711臺南市歸仁區歸仁里大德路127號,06-2390512  ,"1、週二至週日：08:00-21:00
2、週一、國定假日休館"
臺南市關廟區圖書館,718臺南市關廟區文化街1號,06-5960858  ,"1、週二至週五：08:30-21:00
      週六、週日：08:00-18:00
2、週一、國定假日休館"
臺南市鹽水區圖書館,737臺南市鹽水區橋南里月津路14-1號,06-6522354  ,"1、週二至週日：08:00-17:30
2、週一、國定假日休館"
臺南市立臺南文化中心藝文沙龍   ,701臺南市東區中華東路3段332號,06-2692864#511,"1、週三至週日：09:00-17:00 
2、週一、週二、國定假日、每月最後一個週五休館"
臺南市鹽埕圖書館,702臺南市南區新和東路51號,06-2255146#421,"1、週二：09:00-17:00
      週三至週日：08:00-20:30
2、週一、國定假日、每月最後一個週五休館"
